10360|447|Maggie: A Girl of the Streets
27825|453|Emma McChesney and Co.
27359|454|The Breitmann Ballads
24223|455|The University of Hard Knocks
22300|463|The Red Badge of Courage: An Episode of the American Civil War
23061|464|In the South Seas Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht "Casco" (1888) and the Schooner "Equator" (1889)
28484|465|The Mountains
53275|472|The House Behind the Cedars
56418|473|Stories to Tell to Children
56884|474|How to Tell Stories to Children, and Some Stories to Tell
52690|475|In Darkest England, and the Way Out
57062|480|"Undo": A Novel
52629|481|In the Bishop's Carriage
53334|486|Ozma of Oz A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein
56240|487|Songs of Travel, and Other Verses
57999|489|One Basket
28542|491|Rezanov
22483|497|Tracks of a Rolling Stone
27596|498|Rebecca of Sunnybrook Farm
23188|499|Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold
40893|506|The Shuttle
46033|509|The Purcell Papers — Volume 1
29315|510|The Purcell Papers — Volume 2
36199|511|The Purcell Papers — Volume 3
35386|516|The Silverado Squatters
34683|518|The Enchanted Island of Yew Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People
30697|521|The Life and Adventures of Robinson Crusoe
34328|527|The End of the Tether
35779|529|Knights of Art: Stories of the Italian Painters
45573|531|The Gaming Table: Its Votaries and Victims. Volume 2 (of 2)
3520|534|An inland voyage
9093|535|Travels with a donkey in the Cevennes
39508|537|Tales of Terror and Mystery
44657|538|Jean of the Lazy A
40496|539|A. W. Kinglake: A Biographical and Literary Study
37646|542|The Life of Me: An Autobiography
34024|544|Anne's House of Dreams
37182|545|At the Earth's Core
6773|550|Silas Marner
219|551|The Land That Time Forgot
47745|553|Out of Time's Abyss
41554|555|The Unbearable Bassington
2381|558|The Thirty-Nine Steps
5259|559|Greenmantle
1316|560|Mr. Standfast
