book_id,gutenberg_id,title,pattern
66181,290,"The Stark Munro Letters Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",end_marker
20766,292,"Beauty and the Beast, and Tales of Home",section1
25141,293,"Paul Prescott's Charge",section1
24385,294,"The Captain of the Polestar, and Other Tales",section1
21404,295,"The Early Short Fiction of Edith Wharton — Part 1",section1
699,300,"United States Declaration of Independence",section1
6330,301,"The Ballad of Reading Gaol",end_marker
48463,302,"The Fibonacci Number Series",section1
41621,303,"HomeBrew HomePages Put YOU on the World Wide Web",section1
42271,304,"Rio Grande's Last Race, and Other Verses",section1
47694,305,"The Count's Millions",section1
6034,308,"Three men in a boat (to say nothing of the dog)",section1
1641,309,"Rhymes of a Rolling Stone",end_marker
33960,312,"Young Adventure: A Book of Poems",section1
37111,313,"Children of the Night",section1
37700,314,"Guide to Life and Literature of the Southwest, with a Few Observations",section1
33488,315,"Rhymes of a Red Cross Man",section1
38270,322,"St. Ives: Being the Adventures of a French Prisoner in England",section1
32814,323,"Verses 1889-1896",section1
32174,324,"A Knight of the Cumberland",section1
39032,325,"Phantastes: A Faerie Romance for Men and Women",section1
69447,327,"The Princess Aline",end_marker
4932,330,"Where There's a Will",end_marker
42938,332,"The Burial of the Guns",section1
47130,333,"Robert Louis Stevenson",section1
46539,334,"Episodes in Van Bibber's Life",section1
43404,335,"Frances Waldeaux: A Novel",section1
35462,340,"The Soul of the Indian: An Interpretation",section1
30086,341,"Myths and Legends of the Sioux",section1
29274,346,"The Troll Garden, and Selected Stories",section1
36159,347,"The Saga of Grettir the Strong: Grettir's Saga",section1
31026,348,"Hesiod, the Homeric Hymns, and Homerica",section1
35173,349,"The Harvester",section1
40813,350,"Fanny Herself",section1
44973,351,"Of Human Bondage",section1
4756,353,"In Flanders Fields, and Other Poems",end_marker
4131,354,"The Story of a Pioneer",end_marker
44567,356,"Beyond the City",section1
41339,357,"A Dream of John Ball; and, A King's Lesson",section1
